fecha,00h - 01h:,01h - 02h:,02h - 03h:,03h - 04h:,04h - 05h:,05h - 06h:,06h - 07h:,07h - 08h:,08h - 09h:,09h - 10h:,10h - 11h:,11h - 12h:,12h - 13h:,13h - 14h:,14h - 15h:,15h - 16h:,16h - 17h:,17h - 18h:,18h - 19h:,19h - 20h:,20h - 21h:,21h - 22h:,22h - 23h:,23h - 24h:,unidad
05/04/2022,0.30614,0.29737,0.269,0.27546,0.28355,0.30304,0.28067,0.32942,0.36162,0.36117,0.4135,0.41074,0.4131,0.4124,0.3683,0.36857,0.36682,0.3663,0.42192,0.43025,0.44157,0.43377,0.38235,0.37751,€/kWh
31/03/2022,0.34653,0.33138,0.33063,0.32335,0.3171,0.32118,0.32683,0.34811,0.38216,0.36546,0.39125,0.37557,0.34165,0.31897,0.26185,0.25855,0.24957,0.25059,0.31642,0.36794,0.41866,0.42199,0.34661,0.30279,€/kWh
30/03/2022,0.33468,0.31902,0.30903,0.29593,0.29989,0.3092,0.32472,0.32824,0.37147,0.3673,0.42221,0.41606,0.41239,0.41127,0.33943,0.33612,0.32761,0.31185,0.39006,0.4168,0.43635,0.44541,0.35615,0.35182,€/kWh
29/03/2022,0.30449,0.2824,0.27649,0.27374,0.27725,0.29108,0.32639,0.32426,0.36677,0.36796,0.43041,0.42984,0.42844,0.40893,0.32994,0.32321,0.31876,0.33254,0.40217,0.40538,0.41921,0.42276,0.33883,0.32508,€/kWh
28/03/2022,0.28296,0.27426,0.26973,0.26371,0.26316,0.278,0.3068,0.30449,0.33477,0.33383,0.39631,0.39268,0.38844,0.36498,0.2937,0.28725,0.2872,0.28162,0.39677,0.41407,0.45403,0.44684,0.34658,0.33382,€/kWh
27/03/2022,0.32519,0.30972,0.0,0.2992,0.28409,0.28504,0.2841,0.28608,0.28682,0.27793,0.26177,0.24935,0.24199,0.22329,0.23267,0.22363,0.22486,0.2564,0.28313,0.32912,0.35556,0.34398,0.33106,0.30674,€/kWh
26/03/2022,0.33855,0.32707,0.32287,0.29904,0.28342,0.28992,0.30914,0.28685,0.2984,0.28869,0.27259,0.25346,0.25647,0.27334,0.25066,0.25256,0.25645,0.29388,0.33031,0.36582,0.35917,0.3579,0.3411,0.33519,€/kWh
25/03/2022,0.33593,0.31966,0.30786,0.30384,0.29919,0.32628,0.33448,0.35273,0.38456,0.38294,0.44168,0.42121,0.40798,0.40434,0.33298,0.31916,0.3412,0.37203,0.45225,0.46782,0.47054,0.44998,0.37324,0.37135,€/kWh
24/03/2022,0.284,0.27715,0.25143,0.24571,0.24586,0.25966,0.2944,0.30141,0.33088,0.32941,0.39018,0.37011,0.35982,0.36138,0.2937,0.29193,0.31607,0.32957,0.39993,0.40647,0.43114,0.40777,0.32819,0.31938,€/kWh
23/03/2022,0.28141,0.2489,0.24442,0.24085,0.23923,0.24018,0.23896,0.28914,0.32922,0.32108,0.36532,0.35446,0.3491,0.33983,0.27125,0.27967,0.29639,0.30058,0.38354,0.39897,0.4051,0.40123,0.31522,0.29684,€/kWh
